#dataset: GeoCSV 2.0
#delimiter: |
#field_unit: unitless|unitless|unitless|unitless|unitless|hertz|ISO_8601|ISO_8601
#field_type: string|string|string|string|string|float|datetime|datetime
Network|Station|Location|Channel|Quality|SampleRate|Earliest|Latest
IU|COLA|10|LHZ|M|1.0|2022-01-09T06:46:38.069538Z|2022-03-10T23:41:09.069538Z
IU|COLA|10|LHZ|M|1.0|2022-03-10T23:45:05.069538Z|2022-09-08T06:41:36.069539Z
IU|COLA|10|LHZ|M|1.0|2022-09-08T06:46:57.069539Z|2022-11-18T05:58:56.069536Z
IU|COLA|10|LHZ|M|1.0|2022-11-18T15:21:37.069536Z|2023-07-10T18:02:11.069536Z
IU|COLA|10|LHZ|M|1.0|2023-07-10T18:26:28.069538Z|2023-07-10T18:38:01.069538Z
IU|COLA|10|LHZ|M|1.0|2023-07-10T18:38:05.069548Z|2023-07-10T19:20:22.069538Z
IU|COLA|10|LHZ|M|1.0|2023-07-10T19:20:58.069552Z|2023-07-11T17:10:17.069536Z
IU|COLA|10|LHZ|M|1.0|2023-07-11T17:11:10.069553Z|2023-12-10T18:20:48.069538Z
IU|COLA|10|LHZ|M|1.0|2023-12-10T18:47:17.069538Z|2023-12-20T18:39:11.069538Z
IU|COLA|10|LHZ|M|1.0|2023-12-20T18:46:55.069536Z|2024-07-01T00:00:00.000000Z
